"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Lake County, CA","06033","2021","2021",67,68766,97.43,75.51,123.73
,"Lake County, CA","06033","2022","2022",61,68191,89.45,68.43,114.91
,"Lake County, CA","06033","2023","2023",48,67878,70.72,52.14,93.76
,"Lake County, CA","06033","2024","2024",62,67764,91.49,70.15,117.29
,"Lassen County, CA","06035","2019","2019",12,30573,39.25,20.28,68.56
,"Lassen County, CA","06035","2022","2022",19,29904,63.54,38.25,99.22
,"Lassen County, CA","06035","2023","2023",19,28861,65.83,39.64,102.81
,"Lassen County, CA","06035","2024","2024",16,28340,56.46,32.27,91.68
,"Los Angeles County, CA","06037","2018","2018",988,10105518,9.78,9.17,10.39
,"Los Angeles County, CA","06037","2019","2019",1267,10039107,12.62,11.93,13.32
,"Los Angeles County, CA","06037","2020","2020",2021,9943046,20.33,19.44,21.21
,"Los Angeles County, CA","06037","2021","2021",2322,9829544,23.62,22.66,24.58
,"Los Angeles County, CA","06037","2022","2022",2440,9721138,25.10,24.10,26.10
,"Los Angeles County, CA","06037","2023","2023",2335,9663345,24.16,23.18,25.14
,"Los Angeles County, CA","06037","2024","2024",1829,9757179,18.75,17.89,19.60
,"Madera County, CA","06039","2018","2018",12,157672,7.61,3.93,13.29
,"Madera County, CA","06039","2019","2019",30,157327,19.07,12.87,27.22
,"Madera County, CA","06039","2020","2020",22,157761,13.95,8.74,21.11
,"Madera County, CA","06039","2021","2021",35,159410,21.96,15.29,30.54
,"Madera County, CA","06039","2022","2022",30,160256,18.72,12.63,26.72
,"Madera County, CA","06039","2023","2023",34,162858,20.88,14.46,29.17
,"Madera County, CA","06039","2024","2024",33,165432,19.95,13.73,28.01
,"Marin County, CA","06041","2018","2018",32,259666,12.32,8.43,17.40
,"Marin County, CA","06041","2019","2019",43,258826,16.61,12.02,22.38
,"Marin County, CA","06041","2020","2020",55,257332,21.37,16.10,27.82
,"Marin County, CA","06041","2021","2021",65,260206,24.98,19.28,31.84
,"Marin County, CA","06041","2022","2022",63,256018,24.61,18.91,31.48
,"Marin County, CA","06041","2023","2023",60,254407,23.58,18.00,30.36
,"Marin County, CA","06041","2024","2024",53,256400,20.67,15.48,27.04
,"Mendocino County, CA","06045","2018","2018",31,87606,35.39,24.04,50.23
,"Mendocino County, CA","06045","2019","2019",42,86749,48.42,34.89,65.44
,"Mendocino County, CA","06045","2020","2020",41,86061,47.64,34.19,64.63
,"Mendocino County, CA","06045","2021","2021",73,91305,79.95,62.67,100.53
,"Mendocino County, CA","06045","2022","2022",65,89783,72.40,55.87,92.28
,"Mendocino County, CA","06045","2023","2023",53,89108,59.48,44.55,77.80
,"Mendocino County, CA","06045","2024","2024",46,89175,51.58,37.77,68.81
,"Merced County, CA","06047","2018","2018",38,274765,13.83,9.79,18.98
,"Merced County, CA","06047","2019","2019",45,277680,16.21,11.82,21.68
,"Merced County, CA","06047","2020","2020",53,279252,18.98,14.22,24.83
,"Merced County, CA","06047","2021","2021",55,286461,19.20,14.46,24.99
,"Merced County, CA","06047","2022","2022",71,290014,24.48,19.12,30.88
,"Merced County, CA","06047","2023","2023",64,291920,21.92,16.88,28.00
,"Merced County, CA","06047","2024","2024",60,296774,20.22,15.43,26.02
,"Monterey County, CA","06053","2018","2018",49,435594,11.25,8.32,14.87
,"Monterey County, CA","06053","2019","2019",64,434061,14.74,11.36,18.83
,"Monterey County, CA","06053","2020","2020",98,430906,22.74,18.46,27.72
,"Monterey County, CA","06053","2021","2021",98,437325,22.41,18.19,27.31
,"Monterey County, CA","06053","2022","2022",90,432858,20.79,16.72,25.56
,"Monterey County, CA","06053","2023","2023",135,430723,31.34,26.06,36.63
,"Monterey County, CA","06053","2024","2024",116,436251,26.59,21.75,31.43
,"Napa County, CA","06055","2018","2018",17,139417,12.19,7.10,19.52
,"Napa County, CA","06055","2019","2019",17,137744,12.34,7.19,19.76
,"Napa County, CA","06055","2020","2020",20,135965,14.71,8.99,22.72
,"Napa County, CA","06055","2021","2021",21,136207,15.42,9.54,23.57
,"Napa County, CA","06055","2022","2022",35,134300,26.06,18.15,36.24
,"Napa County, CA","06055","2023","2023",22,133216,16.51,10.35,25.00
,"Napa County, CA","06055","2024","2024",15,132727,11.30,6.33,18.64
,"Nevada County, CA","06057","2018","2018",15,99696,15.05,8.42,24.82
,"Nevada County, CA","06057","2019","2019",16,99755,16.04,9.17,26.05
,"Nevada County, CA","06057","2020","2020",37,99606,37.15,26.15,51.20
,"Nevada County, CA","06057","2021","2021",43,103487,41.55,30.07,55.97
,"Nevada County, CA","06057","2022","2022",34,102293,33.24,23.02,46.45
,"Nevada County, CA","06057","2023","2023",47,102037,46.06,33.84,61.25
,"Nevada County, CA","06057","2024","2024",39,102195,38.16,27.14,52.17
,"Orange County, CA","06059","2018","2018",416,3185968,13.06,11.80,14.31
,"Orange County, CA","06059","2019","2019",408,3175692,12.85,11.60,14.09
,"Orange County, CA","06059","2020","2020",653,3166857,20.62,19.04,22.20
,"Orange County, CA","06059","2021","2021",932,3167809,29.42,27.53,31.31
,"Orange County, CA","06059","2022","2022",809,3151184,25.67,23.90,27.44
,"Orange County, CA","06059","2023","2023",761,3135755,24.27,22.54,25.99
,"Orange County, CA","06059","2024","2024",580,3170435,18.29,16.81,19.78
,"Placer County, CA","06061","2018","2018",44,393149,11.19,8.13,15.02
,"Placer County, CA","06061","2019","2019",63,398329,15.82,12.15,20.24
,"Placer County, CA","06061","2020","2020",67,402950,16.63,12.89,21.12
,"Placer County, CA","06061","2021","2021",78,412300,18.92,14.95,23.61
,"Placer County, CA","06061","2022","2022",88,417772,21.06,16.89,25.95
,"Placer County, CA","06061","2023","2023",78,423561,18.42,14.56,22.98
,"Placer County, CA","06061","2024","2024",65,433822,14.98,11.56,19.10
,"Riverside County, CA","06065","2018","2018",440,2450758,17.95,16.28,19.63
,"Riverside County, CA","06065","2019","2019",460,2470546,18.62,16.92,20.32
,"Riverside County, CA","06065","2020","2020",695,2489188,27.92,25.84,30.00
,"Riverside County, CA","06065","2021","2021",830,2458395,33.76,31.46,36.06
,"Riverside County, CA","06065","2022","2022",875,2473902,35.37,33.03,37.71
,"Riverside County, CA","06065","2023","2023",873,2492442,35.03,32.70,37.35
,"Riverside County, CA","06065","2024","2024",659,2529933,26.05,24.06,28.04
,"Sacramento County, CA","06067","2018","2018",249,1540975,16.16,14.15,18.17
,"Sacramento County, CA","06067","2019","2019",321,1552058,20.68,18.42,22.94
,"Sacramento County, CA","06067","2020","2020",290,1559146,18.60,16.46,20.74
,"Sacramento County, CA","06067","2021","2021",497,1588921,31.28,28.53,34.03
,"Sacramento County, CA","06067","2022","2022",562,1584169,35.48,32.54,38.41
,"Sacramento County, CA","06067","2023","2023",638,1584288,40.27,37.15,43.40
,"Sacramento County, CA","06067","2024","2024",532,1611231,33.02,30.21,35.82
,"San Benito County, CA","06069","2020","2020",10,64055,15.61,7.49,28.71
,"San Benito County, CA","06069","2021","2021",15,66677,22.50,12.59,37.10
,"San Benito County, CA","06069","2022","2022",16,67579,23.68,13.53,38.45
,"San Benito County, CA","06069","2023","2023",17,68175,24.94,14.53,39.92
,"San Benito County, CA","06069","2024","2024",12,69159,17.35,8.97,30.31
,"San Bernardino County, CA","06071","2018","2018",278,2171603,12.80,11.30,14.31
,"San Bernardino County, CA","06071","2019","2019",252,2180085,11.56,10.13,12.99
,"San Bernardino County, CA","06071","2020","2020",518,2189183,23.66,21.62,25.70
,"San Bernardino County, CA","06071","2021","2021",559,2194710,25.47,23.36,27.58
,"San Bernardino County, CA","06071","2022","2022",515,2193656,23.48,21.45,25.50
,"San Bernardino County, CA","06071","2023","2023",602,2195611,27.42,25.23,29.61
,"San Bernardino County, CA","06071","2024","2024",473,2214281,21.36,19.44,23.29
,"San Diego County, CA","06073","2018","2018",481,3343364,14.39,13.10,15.67
,"San Diego County, CA","06073","2019","2019",483,3338330,14.47,13.18,15.76
,"San Diego County, CA","06073","2020","2020",760,3332427,22.81,21.18,24.43
,"San Diego County, CA","06073","2021","2021",980,3286069,29.82,27.96,31.69
,"San Diego County, CA","06073","2022","2022",997,3276208,30.43,28.54,32.32
,"San Diego County, CA","06073","2023","2023",928,3269973,28.38,26.55,30.21
,"San Diego County, CA","06073","2024","2024",694,3298799,21.04,19.47,22.60
,"San Francisco County, CA","06075","2018","2018",237,883305,26.83,23.42,30.25
,"San Francisco County, CA","06075","2019","2019",402,881549,45.60,41.14,50.06
,"San Francisco County, CA","06075","2020","2020",547,866606,63.12,57.83,68.41
,"San Francisco County, CA","06075","2021","2021",554,815201,67.96,62.30,73.62
,"San Francisco County, CA","06075","2022","2022",475,808437,58.76,53.47,64.04
,"San Francisco County, CA","06075","2023","2023",618,808988,76.39,70.37,82.41
,"San Francisco County, CA","06075","2024","2024",493,827526,59.58,54.32,64.83
,"San Joaquin County, CA","06077","2018","2018",122,752660,16.21,13.33,19.09
,"San Joaquin County, CA","06077","2019","2019",124,762148,16.27,13.41,19.13
,"San Joaquin County, CA","06077","2020","2020",161,767967,20.96,17.73,24.20
,"San Joaquin County, CA","06077","2021","2021",210,789410,26.60,23.00,30.20
,"San Joaquin County, CA","06077","2022","2022",176,793229,22.19,18.91,25.47
,"San Joaquin County, CA","06077","2023","2023",254,800965,31.71,27.81,35.61
,"San Joaquin County, CA","06077","2024","2024",201,816108,24.63,21.22,28.03
,"San Luis Obispo County, CA","06079","2018","2018",44,284010,15.49,11.26,20.80
,"San Luis Obispo County, CA","06079","2019","2019",52,283111,18.37,13.72,24.09
